#{"t_start": 1781113351.5034025, "env_id": "None"}
r,l,t
106.707614,51,85.925094
125.251551,55,86.115941
138.389794,57,86.311879
128.916117,55,86.507392
194.077553,70,86.761297
141.08195,58,86.964681
137.529786,58,87.168725
165.449008,64,87.396238
131.371131,55,87.593028
113.353665,52,87.778553
203.849312,72,88.028299
123.174261,55,88.224123
96.71941,48,88.393047
95.78745,48,88.575321
154.281798,62,88.795589
156.804455,61,89.011998
163.835496,64,89.239927
82.332422,45,89.400409
122.752242,54,89.597768
147.352001,60,89.808643
102.557954,49,89.978438
122.389017,55,90.569959
152.671028,60,90.815977
90.03509,46,90.982931
166.85831,63,91.212616
126.548347,56,91.410496
119.456284,54,91.609326
152.982492,60,91.823464
156.151845,63,92.044308
149.700542,59,92.251299
103.562641,49,92.422666
196.31719,69,92.666815
141.069796,60,92.882656
104.066862,51,93.058806
133.95829,56,93.256826
151.531537,61,93.470536
132.187183,57,93.68173
108.673385,51,93.868008
143.322238,58,94.07448
125.031663,54,94.2598
122.067066,53,94.442844
108.853409,51,94.634727
103.342831,49,94.803617
144.480735,59,95.009707
172.859458,64,95.232788
134.329722,57,95.431898
125.349319,54,95.625539
146.515736,60,95.837866
143.36767,58,96.045292
136.714641,57,96.249272
146.286456,59,96.456801
137.962322,58,96.661789
317.981482,99,97.014078
180.588009,68,97.252891
83.528511,46,97.413849
112.922665,52,97.599535
147.073645,61,98.174145
104.187727,50,98.410645
136.93712,56,98.619642
117.869588,54,98.815928
196.208623,71,99.074889
172.242001,65,99.306851
189.165589,69,99.547955
106.438384,50,99.754547
127.318528,55,99.946281
147.775748,60,100.153563
93.109622,48,100.325066
125.670126,55,100.522646
104.247471,50,100.710563
174.585816,65,100.943928
107.090617,49,101.115072
143.583843,59,101.321371
170.301569,64,101.54517
130.826797,54,101.743147
165.295252,64,101.969784
103.698683,49,102.143206
128.094967,55,102.333544
294.255781,95,102.671146
168.571913,64,102.898499
135.535778,57,103.100498
250.928463,83,103.393406
117.153293,53,103.57751
164.818556,64,103.810425
130.09732,57,104.010566
112.15557,51,104.195257
110.31412,52,104.377767
155.485244,61,104.593545
157.856963,62,104.821226
155.022778,62,105.046539
143.474997,59,105.257818
148.146414,60,105.476744
112.041025,51,106.13623
159.445318,62,106.36308
117.734459,52,106.554464
135.904048,56,106.761803
119.588242,53,106.949258
117.680397,52,107.139248
136.647595,57,107.342823
90.174062,46,107.500506
149.882362,59,107.708915
129.003279,55,107.904553
